	countsfilteredBeiRNA_BagBrown_mean	countsfilteredBeiRNA_SeaWater_mean	theta	prob	log2FC
TRINITY_DN943_c0_g1~~TRINITY_DN943_c0_g1_i30.p1	8.9608123681	0.5	1.36202310618904	0.999999999999832	4.16362952986124
TRINITY_DN8899_c0_g1~~TRINITY_DN8899_c0_g1_i10.p1	0.56209758555	56.96306377715	-3.64008574238075	0.999999999999813	-6.66306231606118
TRINITY_DN3844_c1_g1~~TRINITY_DN3844_c1_g1_i2.p1	63.67158962665	36.627108984125	2.02946337161525	0.999999999999804	0.797737950917722
TRINITY_DN7182_c0_g1~~TRINITY_DN7182_c0_g1_i2.p1	243.93546725825	168.1817508837	1.36247487691889	0.999999999999797	0.536478365878179
TRINITY_DN5822_c0_g1~~TRINITY_DN5822_c0_g1_i1.p1	110.140891391125	81.990457547325	1.3626537991421	0.99999999999976	0.425822272983682
TRINITY_DN35081_c0_g1~~TRINITY_DN35081_c0_g1_i4.p1	68.880414328275	47.365317361125	1.35390180103542	0.999999999999745	0.540262769853279
TRINITY_DN7194_c0_g2~~TRINITY_DN7194_c0_g2_i1.p1	10.1471283892	4.51818711815	1.353371136831	0.999999999999679	1.16725558077093
TRINITY_DN1624_c0_g1~~TRINITY_DN1624_c0_g1_i2.p1	106.135463500525	63.353803037675	2.02793363550077	0.999999999999479	0.744403660740587
TRINITY_DN2083_c0_g1~~TRINITY_DN2083_c0_g1_i12.p1	8.293699027675	1.35846891165	1.35249654888769	0.999999999999421	2.6100341437509
TRINITY_DN1539_c5_g1~~TRINITY_DN1539_c5_g1_i13.p1	686.1787015892	455.052623847325	1.3523527596765	0.999999999999379	0.592550953382377
TRINITY_DN27455_c0_g1~~TRINITY_DN27455_c0_g1_i4.p1	416.87263307235	257.8230130586	1.36529137976872	0.999999999998874	0.693225621802667
TRINITY_DN3820_c0_g1~~TRINITY_DN3820_c0_g1_i7.p1	81.80481490725	60.508634762625	1.36538448842468	0.99999999999883	0.435044726543739
TRINITY_DN598_c0_g1~~TRINITY_DN598_c0_g1_i2.p1	3.205209672625	13.186719438975	-1.75732883230911	0.999999999998815	-2.04059505828425
TRINITY_DN43_c0_g2~~TRINITY_DN43_c0_g2_i3.p1	3.79516689195	0.5	1.36557025378909	0.999999999998702	2.92416332935472
TRINITY_DN1196_c0_g1~~TRINITY_DN1196_c0_g1_i6.p1	31.414920222175	19.711470340025	1.36576441632788	0.999999999998489	0.672414520865264
TRINITY_DN708_c0_g1~~TRINITY_DN708_c0_g1_i1.p1	100.551716328625	77.707703222625	1.35038977792665	0.999999999998297	0.37180818110735
TRINITY_DN6865_c0_g1~~TRINITY_DN6865_c0_g1_i1.p1	7.91211826175	0.433751288325	1.3667609499421	0.999999999997385	4.18912404220419
TRINITY_DN5595_c0_g1~~TRINITY_DN5595_c0_g1_i2.p1	13.7884664038	0.51099916385	2.02520601812408	0.999999999997331	4.75399726403429
